#OTU ID,632.Arctic.Tundra.1,632.Arctic.Tundra.2,632.Wetland.soil,632.Tar.sand.1,632.Northern.peatlands,632.Temperate.deciduous.forest,632.Temperate.rain.forest,632.Boreal.coniferous.forest,632.Tar.sand.2,632.Agricultural.soil.wheat,632.Agricultural.soil.soy,632.UW.community.garden,632.Compost,
809256,0.0,7.0,0.0,3.0,1.0,19.0,20.0,0.0,2.0,0.0,1.0,0.0,0.0,
4329686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
760913,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
833774,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
4415209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
849863,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,30.0,1.0,5.0,0.0,0.0,
278664,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
210409,0.0,0.0,1.0,0.0,5.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,
4479507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,
4462001,0.0,0.0,1.0,0.0,3.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,
820191,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
695117,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
151914,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
4445994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
1118184,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
698748,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,16.0,0.0,0.0,
1111136,12.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,9.0,46.0,0.0,0.0,
4296366,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,
4296365,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4296364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
4484352,0.0,0.0,5.0,3.0,2.0,2.0,0.0,1.0,1.0,8.0,12.0,0.0,0.0,
4306583,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
142300,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4385103,4.0,7.0,8.0,5.0,31.0,1.0,1.0,0.0,4.0,3.0,14.0,0.0,0.0,
4385104,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
4385105,4.0,0.0,9.0,4.0,43.0,2.0,3.0,12.0,1.0,3.0,9.0,0.0,0.0,
560302,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
248953,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,
4373215,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4321045,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,17.0,151.0,0.0,0.0,
4337010,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4321043,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,
269030,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,6.0,7.0,11.0,0.0,0.0,
355754,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
